STATISTIC,Statistic Label,Type of Development,C02074V02506,Functional Category,CountyName,Region,TLIST(Q1),Quarter,UNIT,VALUE
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20091,2009Q1,000 Sq Metres,2960
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20092,2009Q2,000 Sq Metres,2625
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20093,2009Q3,000 Sq Metres,2188
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20094,2009Q4,000 Sq Metres,1220
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20101,2010Q1,000 Sq Metres,1147
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20102,2010Q2,000 Sq Metres,1329
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20103,2010Q3,000 Sq Metres,1142
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20104,2010Q4,000 Sq Metres,769
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20111,2011Q1,000 Sq Metres,975
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20112,2011Q2,000 Sq Metres,1013
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20113,2011Q3,000 Sq Metres,753
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20114,2011Q4,000 Sq Metres,572
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20121,2012Q1,000 Sq Metres,562
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20122,2012Q2,000 Sq Metres,625
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20123,2012Q3,000 Sq Metres,658
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20124,2012Q4,000 Sq Metres,586
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20131,2013Q1,000 Sq Metres,761
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20132,2013Q2,000 Sq Metres,664
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20133,2013Q3,000 Sq Metres,594
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20134,2013Q4,000 Sq Metres,592
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20141,2014Q1,000 Sq Metres,565
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20142,2014Q2,000 Sq Metres,539
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20143,2014Q3,000 Sq Metres,746
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20144,2014Q4,000 Sq Metres,582
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20151,2015Q1,000 Sq Metres,768
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20152,2015Q2,000 Sq Metres,849
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20153,2015Q3,000 Sq Metres,1062
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20154,2015Q4,000 Sq Metres,1288
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20161,2016Q1,000 Sq Metres,1024
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20162,2016Q2,000 Sq Metres,1014
BHQ09,Total Floored Area for which Permission Granted in New Construction and Extensions,New construction,7,All functional categories,Cork,State,20163,2016Q3,000 Sq Metres,1475
